"Conference","Abbr"
"Southland Conference","Sthland"
"Mountain West Conference","MWC"
"Southeastern Conference","SEC"
"Mid-American Conference","MAC"
"Missouri Valley Conference","MVC"
"Atlantic Coast Conference","ACC"
"Southwest Athletic Conference","SWAC"
"Pacific-10 Conference","Pac10"
"Sun Belt Conference","SBC"
"Conference USA","ConfUSA"
"Big West Conference","BigWest"
"America East Conference","AmEast"
"Big Ten Conference","Big10"
"Southern Conference","SoCon"
"Pacific-12 Conference","Pac12"
"American Athletic Conference","AAC"
"Big 12 Conference","Big12"
"Summit League","Summ"
"Patriot League","Patriot"
"Ohio Valley Conference","OVC"
"Horizon League","Horiz"
"Atlantic 10 Conference","Atl10"
"Atlantic Sun Conference","AtlSun"
"Western Athletic Conference","WAC"
"Mid-Eastern Athletic Conference","MEAC"
"Big East Conference","BigEast"
"Ivy League","Ivy"
"Northeast Conference","NEC"
"West Coast Conference","WCC"
"Independent","IndyNCAA"
"Big South Conference","BigSou"
"Metro Atlantic Athletic Conference","MAAC"
"Great West Conference","GWC"
"Colonial Athletic Association","CAA"
"Great Plains Athletic Conference","Plains"
